time (s), 25.00000, time (s), 100.000000
1.320000000000000000e+02,1.179454871677050320e+01,1.320000000000000000e+02,2.849854871677050383e+01
1.330000000000000000e+02,1.179454871677050320e+01,1.330000000000000000e+02,2.859854871677050525e+01
1.340000000000000000e+02,1.189454871677050285e+01,1.340000000000000000e+02,2.859854871677050525e+01
1.350000000000000000e+02,1.179454871677050320e+01,1.350000000000000000e+02,2.859854871677050525e+01
1.360000000000000000e+02,1.209454871677050392e+01,1.360000000000000000e+02,2.859854871677050525e+01
1.370000000000000000e+02,1.199454871677050427e+01,1.370000000000000000e+02,2.879854871677050454e+01
1.380000000000000000e+02,1.199454871677050427e+01,1.380000000000000000e+02,2.879854871677050454e+01
1.390000000000000000e+02,1.209454871677050392e+01,1.390000000000000000e+02,2.879854871677050454e+01
1.400000000000000000e+02,1.199454871677050427e+01,1.400000000000000000e+02,2.899854871677050383e+01
1.410000000000000000e+02,1.209454871677050392e+01,1.410000000000000000e+02,2.889854871677050241e+01
1.420000000000000000e+02,1.199454871677050427e+01,1.420000000000000000e+02,2.889854871677050241e+01
1.430000000000000000e+02,1.209454871677050392e+01,1.430000000000000000e+02,2.889854871677050241e+01
1.440000000000000000e+02,1.209454871677050392e+01,1.440000000000000000e+02,2.889854871677050241e+01
1.450000000000000000e+02,1.209454871677050392e+01,1.450000000000000000e+02,2.909854871677050525e+01
1.550000000000000000e+02,1.249454871677050427e+01,1.550000000000000000e+02,2.889854871677050241e+01
1.560000000000000000e+02,1.249454871677050427e+01,1.560000000000000000e+02,2.859854871677050525e+01
1.570000000000000000e+02,1.249454871677050427e+01,1.570000000000000000e+02,2.839854871677050241e+01
1.580000000000000000e+02,1.219454871677050356e+01,1.580000000000000000e+02,2.819854871677050312e+01
1.590000000000000000e+02,1.229454871677050320e+01,1.590000000000000000e+02,2.779854871677050454e+01
1.600000000000000000e+02,1.209454871677050392e+01,1.600000000000000000e+02,2.769854871677050312e+01
1.610000000000000000e+02,1.209454871677050392e+01,1.610000000000000000e+02,2.739854871677050241e+01
1.620000000000000000e+02,1.199454871677050427e+01,1.620000000000000000e+02,2.719854871677050312e+01
1.630000000000000000e+02,1.189454871677050285e+01,1.630000000000000000e+02,2.699854871677050383e+01
1.640000000000000000e+02,1.179454871677050320e+01,1.640000000000000000e+02,2.679854871677050454e+01
1.650000000000000000e+02,1.169454871677050356e+01,1.650000000000000000e+02,2.649854871677050383e+01
1.660000000000000000e+02,1.159454871677050392e+01,1.660000000000000000e+02,2.649854871677050383e+01
1.670000000000000000e+02,1.159454871677050392e+01,1.670000000000000000e+02,2.629854871677050454e+01
1.680000000000000000e+02,1.149454871677050427e+01,1.680000000000000000e+02,2.619854871677050312e+01
1.690000000000000000e+02,1.149454871677050427e+01,1.690000000000000000e+02,2.589854871677050241e+01
1.700000000000000000e+02,1.139454871677050285e+01,1.700000000000000000e+02,2.569854871677050312e+01
1.710000000000000000e+02,1.139454871677050285e+01,1.710000000000000000e+02,2.549854871677050383e+01
1.720000000000000000e+02,1.129454871677050320e+01,1.720000000000000000e+02,2.519854871677050312e+01
1.730000000000000000e+02,1.139454871677050285e+01,1.730000000000000000e+02,2.509854871677050525e+01
1.740000000000000000e+02,1.119454871677050356e+01,1.740000000000000000e+02,2.509854871677050525e+01
1.750000000000000000e+02,1.119454871677050356e+01,1.750000000000000000e+02,2.479854871677050454e+01
