time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
8.000000000000000000e+01,1.165099999999999980e+01,8.000000000000000000e+01,1.866900000000000048e+01,8.000000000000000000e+01,2.628999999999999915e+01
8.100000000000000000e+01,1.165099999999999980e+01,8.100000000000000000e+01,1.876899999999999835e+01,8.100000000000000000e+01,2.639000000000000057e+01
8.200000000000000000e+01,1.165099999999999980e+01,8.200000000000000000e+01,1.886899999999999977e+01,8.200000000000000000e+01,2.639000000000000057e+01
8.300000000000000000e+01,1.165099999999999980e+01,8.300000000000000000e+01,1.886899999999999977e+01,8.300000000000000000e+01,2.639000000000000057e+01
8.400000000000000000e+01,1.175099999999999945e+01,8.400000000000000000e+01,1.896900000000000119e+01,8.400000000000000000e+01,2.648999999999999844e+01
8.500000000000000000e+01,1.175099999999999945e+01,8.500000000000000000e+01,1.906899999999999906e+01,8.500000000000000000e+01,2.658999999999999986e+01
8.600000000000000000e+01,1.175099999999999945e+01,8.600000000000000000e+01,1.906899999999999906e+01,8.600000000000000000e+01,2.669000000000000128e+01
8.700000000000000000e+01,1.185100000000000087e+01,8.700000000000000000e+01,1.916900000000000048e+01,8.700000000000000000e+01,2.689000000000000057e+01
8.800000000000000000e+01,1.205100000000000016e+01,8.800000000000000000e+01,1.936899999999999977e+01,8.800000000000000000e+01,2.698999999999999844e+01
8.900000000000000000e+01,1.205100000000000016e+01,8.900000000000000000e+01,1.936899999999999977e+01,8.900000000000000000e+01,2.698999999999999844e+01
9.000000000000000000e+01,1.205100000000000016e+01,9.000000000000000000e+01,1.956899999999999906e+01,9.000000000000000000e+01,2.708999999999999986e+01
9.100000000000000000e+01,1.205100000000000016e+01,9.100000000000000000e+01,1.956899999999999906e+01,9.100000000000000000e+01,2.708999999999999986e+01
9.200000000000000000e+01,1.235100000000000087e+01,9.200000000000000000e+01,1.976899999999999835e+01,9.200000000000000000e+01,2.728999999999999915e+01
9.300000000000000000e+01,1.245100000000000051e+01,9.300000000000000000e+01,1.986899999999999977e+01,9.300000000000000000e+01,2.748999999999999844e+01
9.400000000000000000e+01,1.245100000000000051e+01,9.400000000000000000e+01,1.986899999999999977e+01,9.400000000000000000e+01,2.758999999999999986e+01
9.500000000000000000e+01,1.265099999999999980e+01,9.500000000000000000e+01,2.006899999999999906e+01,9.500000000000000000e+01,2.769000000000000128e+01
9.600000000000000000e+01,1.265099999999999980e+01,9.600000000000000000e+01,2.006899999999999906e+01,9.600000000000000000e+01,2.778999999999999915e+01
