time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
3.900000000000000000e+01,2.188906451085487426e+00,3.900000000000000000e+01,6.260906451085487490e+00,3.900000000000000000e+01,8.813906451085486538e+00,3.900000000000000000e+01,1.986990645108548748e+01,3.900000000000000000e+01,3.295890645108548256e+01,3.900000000000000000e+01,5.293890645108548654e+01
4.000000000000000000e+01,2.288906451085487515e+00,4.000000000000000000e+01,6.560906451085487312e+00,4.000000000000000000e+01,9.113906451085487248e+00,4.000000000000000000e+01,2.036990645108548748e+01,4.000000000000000000e+01,3.335890645108548824e+01,4.000000000000000000e+01,5.333890645108548512e+01
4.100000000000000000e+01,2.388906451085487603e+00,4.100000000000000000e+01,6.560906451085487312e+00,4.100000000000000000e+01,9.213906451085486893e+00,4.100000000000000000e+01,2.076990645108548961e+01,4.100000000000000000e+01,3.395890645108548256e+01,4.100000000000000000e+01,5.403890645108548796e+01
4.200000000000000000e+01,2.388906451085487603e+00,4.200000000000000000e+01,6.760906451085487490e+00,4.200000000000000000e+01,9.413906451085486182e+00,4.200000000000000000e+01,2.106990645108548676e+01,4.200000000000000000e+01,3.435890645108548824e+01,4.200000000000000000e+01,5.453890645108548796e+01
4.300000000000000000e+01,2.488906451085487692e+00,4.300000000000000000e+01,6.860906451085487134e+00,4.300000000000000000e+01,9.513906451085485827e+00,4.300000000000000000e+01,2.136990645108548748e+01,4.300000000000000000e+01,3.495890645108548256e+01,4.300000000000000000e+01,5.493890645108548654e+01
4.400000000000000000e+01,2.588906451085487337e+00,4.400000000000000000e+01,6.960906451085487667e+00,4.400000000000000000e+01,9.713906451085486893e+00,4.400000000000000000e+01,2.166990645108548819e+01,4.400000000000000000e+01,3.545890645108548256e+01,4.400000000000000000e+01,5.553890645108548796e+01
4.500000000000000000e+01,2.588906451085487337e+00,4.500000000000000000e+01,7.160906451085487845e+00,4.500000000000000000e+01,9.913906451085486182e+00,4.500000000000000000e+01,2.206990645108548676e+01,4.500000000000000000e+01,3.605890645108548398e+01,4.500000000000000000e+01,5.593890645108548654e+01
4.600000000000000000e+01,2.688906451085487426e+00,4.600000000000000000e+01,7.160906451085487845e+00,4.600000000000000000e+01,1.011390645108548725e+01,4.600000000000000000e+01,2.236990645108548748e+01,4.600000000000000000e+01,3.655890645108548398e+01,4.600000000000000000e+01,5.653890645108548796e+01
4.700000000000000000e+01,2.788906451085487515e+00,4.700000000000000000e+01,7.460906451085487667e+00,4.700000000000000000e+01,1.021390645108548689e+01,4.700000000000000000e+01,2.256990645108548676e+01,4.700000000000000000e+01,3.695890645108548256e+01,4.700000000000000000e+01,5.703890645108548796e+01
4.800000000000000000e+01,3.088906451085487337e+00,4.800000000000000000e+01,7.560906451085487312e+00,4.800000000000000000e+01,1.051390645108548583e+01,4.800000000000000000e+01,2.286990645108548748e+01,4.800000000000000000e+01,3.725890645108548682e+01,4.800000000000000000e+01,5.753890645108548796e+01
4.900000000000000000e+01,3.188906451085487426e+00,4.900000000000000000e+01,7.760906451085488378e+00,4.900000000000000000e+01,1.071390645108548689e+01,4.900000000000000000e+01,2.326990645108548961e+01,4.900000000000000000e+01,3.765890645108548540e+01,4.900000000000000000e+01,5.793890645108548654e+01
