time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
9.000000000000000000e+01,5.509999999999999787e+00,9.000000000000000000e+01,9.180999999999999162e+00,9.000000000000000000e+01,1.528700000000000081e+01
9.100000000000000000e+01,5.509999999999999787e+00,9.100000000000000000e+01,9.281000000000000583e+00,9.100000000000000000e+01,1.538700000000000045e+01
9.200000000000000000e+01,5.509999999999999787e+00,9.200000000000000000e+01,9.281000000000000583e+00,9.200000000000000000e+01,1.538700000000000045e+01
9.300000000000000000e+01,5.509999999999999787e+00,9.300000000000000000e+01,9.480999999999999872e+00,9.300000000000000000e+01,1.538700000000000045e+01
9.400000000000000000e+01,5.610000000000000320e+00,9.400000000000000000e+01,9.480999999999999872e+00,9.400000000000000000e+01,1.558699999999999974e+01
9.500000000000000000e+01,5.709999999999999964e+00,9.500000000000000000e+01,9.580999999999999517e+00,9.500000000000000000e+01,1.558699999999999974e+01
9.600000000000000000e+01,5.709999999999999964e+00,9.600000000000000000e+01,9.580999999999999517e+00,9.600000000000000000e+01,1.568699999999999939e+01
9.700000000000000000e+01,5.709999999999999964e+00,9.700000000000000000e+01,9.680999999999999162e+00,9.700000000000000000e+01,1.578700000000000081e+01
9.800000000000000000e+01,5.809999999999999609e+00,9.800000000000000000e+01,9.781000000000000583e+00,9.800000000000000000e+01,1.588700000000000045e+01
9.900000000000000000e+01,5.809999999999999609e+00,9.900000000000000000e+01,9.680999999999999162e+00,9.900000000000000000e+01,1.588700000000000045e+01
1.000000000000000000e+02,5.809999999999999609e+00,1.000000000000000000e+02,9.781000000000000583e+00,1.000000000000000000e+02,1.588700000000000045e+01
1.010000000000000000e+02,5.910000000000000142e+00,1.010000000000000000e+02,9.980999999999999872e+00,1.010000000000000000e+02,1.618700000000000117e+01
1.020000000000000000e+02,5.910000000000000142e+00,1.020000000000000000e+02,9.881000000000000227e+00,1.020000000000000000e+02,1.618700000000000117e+01
1.030000000000000000e+02,6.009999999999999787e+00,1.030000000000000000e+02,1.008099999999999952e+01,1.030000000000000000e+02,1.628699999999999903e+01
1.040000000000000000e+02,6.110000000000000320e+00,1.040000000000000000e+02,1.018099999999999916e+01,1.040000000000000000e+02,1.638700000000000045e+01
